datum;pegel;wasserstand
2020-03-01 06:18:41;Langlingen;397
2020-03-01 06:18:41;Celle;337
2020-03-01 06:18:41;Marklendorf;274
2020-03-01 06:18:41;Ahlden;375
2020-03-01 06:18:41;Rethem;391
2020-03-01 06:18:41;Eitze;534
2020-03-01 07:18:48;Grafhorst;105
2020-03-01 07:18:48;Brenneckenbrück;267
2020-03-01 07:18:48;Langlingen;397
2020-03-01 07:18:48;Celle;337
2020-03-01 07:18:48;Marklendorf;275
2020-03-01 07:18:48;Ahlden;375
2020-03-01 07:18:48;Rethem;391
2020-03-01 07:18:48;Eitze;535
2020-03-01 08:18:56;Grafhorst;104
2020-03-01 08:18:56;Brenneckenbrück;267
2020-03-01 08:18:56;Langlingen;397
2020-03-01 08:18:56;Celle;337
2020-03-01 08:18:56;Marklendorf;276
2020-03-01 08:18:56;Ahlden;375
2020-03-01 08:18:56;Rethem;391
2020-03-01 08:18:56;Eitze;534
2020-03-01 09:19:10;Grafhorst;104
2020-03-01 09:19:10;Brenneckenbrück;267
2020-03-01 09:19:10;Langlingen;397
2020-03-01 09:19:10;Celle;336
2020-03-01 09:19:10;Marklendorf;273
2020-03-01 09:19:10;Ahlden;374
2020-03-01 09:19:10;Rethem;391
2020-03-01 09:19:10;Eitze;532
2020-03-01 10:19:17;Grafhorst;103
2020-03-01 10:19:17;Brenneckenbrück;267
2020-03-01 10:19:17;Langlingen;396
2020-03-01 10:19:17;Celle;336
2020-03-01 10:19:17;Marklendorf;275
2020-03-01 10:19:17;Ahlden;374
2020-03-01 10:19:17;Rethem;391
2020-03-01 10:19:17;Eitze;535
2020-03-01 11:19:30;Grafhorst;103
2020-03-01 11:19:30;Brenneckenbrück;266
2020-03-01 11:19:30;Langlingen;396
2020-03-01 11:19:30;Celle;337
2020-03-01 11:19:30;Marklendorf;275
2020-03-01 11:19:30;Ahlden;374
2020-03-01 11:19:30;Rethem;391
2020-03-01 11:19:30;Eitze;535
2020-03-01 12:19:38;Grafhorst;102
2020-03-01 12:19:38;Brenneckenbrück;267
2020-03-01 12:19:38;Langlingen;396
2020-03-01 12:19:38;Celle;337
2020-03-01 12:19:38;Marklendorf;275
2020-03-01 12:19:38;Ahlden;374
2020-03-01 12:19:38;Rethem;391
2020-03-01 12:19:38;Eitze;535
2020-03-01 13:19:44;Grafhorst;101
2020-03-01 13:19:44;Brenneckenbrück;266
2020-03-01 13:19:44;Langlingen;396
2020-03-01 13:19:44;Celle;337
2020-03-01 13:19:44;Marklendorf;275
2020-03-01 13:19:44;Ahlden;374
2020-03-01 13:19:44;Rethem;391
2020-03-01 13:19:44;Eitze;535
2020-03-01 14:19:57;Grafhorst;101
2020-03-01 14:19:57;Brenneckenbrück;266
2020-03-01 14:19:57;Langlingen;396
2020-03-01 14:19:57;Celle;337
2020-03-01 14:19:57;Marklendorf;275
2020-03-01 14:19:57;Ahlden;374
2020-03-01 14:19:57;Rethem;391
2020-03-01 14:19:57;Eitze;535
2020-03-01 15:20:04;Grafhorst;100
2020-03-01 15:20:04;Brenneckenbrück;266
2020-03-01 15:20:04;Langlingen;396
2020-03-01 15:20:04;Celle;336
2020-03-01 15:20:04;Marklendorf;275
2020-03-01 15:20:04;Ahlden;373
2020-03-01 15:20:04;Rethem;391
2020-03-01 15:20:04;Eitze;535
2020-03-01 16:20:14;Grafhorst;100
2020-03-01 16:20:14;Brenneckenbrück;266
2020-03-01 16:20:14;Langlingen;396
2020-03-01 16:20:14;Celle;336
2020-03-01 16:20:14;Marklendorf;275
2020-03-01 16:20:14;Ahlden;373
2020-03-01 16:20:14;Rethem;391
2020-03-01 16:20:14;Eitze;535
2020-03-01 17:20:24;Grafhorst;99 
2020-03-01 17:20:24;Brenneckenbrück;266
2020-03-01 17:20:24;Langlingen;396
2020-03-01 17:20:24;Celle;336
2020-03-01 17:20:24;Marklendorf;275
