['67 ', '162', '359', '195', '127', '164', '202', '351']
['67 ', '161', '359', '195', '126', '164', '201', '351']
['67 ', '161', '360', '195', '126', '164', '201', '350']
['67 ', '161', '360', '194', '124', '163', '201', '348']
['67 ', '160', '359', '193', '125', '163', '201', '350']
['67 ', '161', '358', '192', '124', '162', '200', '349']
['67 ', '161', '357', '192', '124', '162', '200', '349']
['67 ', '161', '357', '192', '124', '162', '199', '349']
['66 ', '162', '357', '192', '123', '162', '199', '348']
['66 ', '162', '356', '192', '120', '161', '199', '346']
['66 ', '163', '357', '190', '121', '161', '198', '348']
['66 ', '163', '357', '188', '122', '160', '198', '348']
['66 ', '163', '358', '187', '122', '160', '198', '347']
['66 ', '163', '361', '187', '121', '160', '197', '347']
['66 ', '162', '362', '186', '121', '159', '197', '347']
['66 ', '162', '363', '185', '120', '158', '196', '347']
['66 ', '161', '362', '186', '121', '159', '196', '346']
['66 ', '161', '363', '187', '121', '158', '196', '346']
['66 ', '161', '362', '190', '120', '158', '195', '345']
['66 ', '160', '362', '191', '119', '158', '195', '345']
['66 ', '160', '361', '192', '119', '157', '195', '344']
['66 ', '160', '362', '192', '118', '156', '194', '342']
['66 ', '160', '362', '192', '118', '157', '194', '344']
['65 ', '159', '361', '193', '118', '156', '194', '344']
['65 ', '159', '360', '193', '119', '156', '193', '343']
['65 ', '158', '360', '193', '120', '155', '192', '343']
['65 ', '158', '360', '193', '120', '155', '193', '342']
['65 ', '157', '362', '192', '120', '155', '192', '340']
['65 ', '157', '362', '193', '120', '155', '192', '342']
['65 ', '157', '359', '192', '120', '155', '192', '342']
['65 ', '157', '358', '192', '120', '155', '191', '342']
['65 ', '157', '360', '192', '119', '155', '191', '341']
['65 ', '157', '360', '192', '120', '155', '190', '340']
['65 ', '157', '358', '191', '121', '154', '190', '340']
['65 ', '157', '359', '191', '120', '154', '190', '340']
['65 ', '157', '361', '190', '119', '154', '190', '340']
['65 ', '157', '360', '189', '119', '154', '190', '340']
['65 ', '157', '359', '187', '121', '154', '189', '339']
['65 ', '157', '359', '187', '121', '153', '189', '339']
['65 ', '157', '360', '187', '119', '153', '189', '337']
['65 ', '156', '359', '187', '120', '153', '189', '338']
['65 ', '156', '359', '186', '119', '153', '189', '339']
['65 ', '155', '359', '186', '119', '152', '189', '338']['64 ', '154', '359', '168', '132', '137', '169', '318']
['64 ', '154', '359', '163', '131', '136', '169', '319']
['64 ', '154', '360', '162', '130', '136', '169', '319']
['63 ', '155', '358', '168', '128', '136', '170', '319']
['63 ', '155', '358', '171', '124', '136', '170', '319']
['63 ', '155', '358', '171', '124', '136', '170', '319']
['63 ', '155', '360', '174', '120', '135', '170', '320']
['63 ', '154', '361', '174', '119', '135', '170', '320']
['63 ', '154', '360', '175', '120', '134', '170', '320']
['64 ', '153', '359', '178', '120', '134', '170', '320']
['64 ', '152', '359', '181', '121', '133', '170', '320']
['64 ', '152', '358', '183', '122', '133', '169', '320']
['64 ', '152', '357', '184', '122', '132', '169', '320']
['63 ', '151', '356', '184', '122', '132', '169', '320']
['63 ', '151', '355', '184', '123', '132', '169', '320']
['64 ', '151', '356', '184', '123', '132', '168', '320']
['64 ', '151', '356', '184', '125', '132', '168', '320']
['63 ', '151', '356', '180', '127', '132', '167', '320']
['63 ', '151', '355', '178', '128', '132', '167', '320']
['63 ', '150', '355', '176', '130', '132', '167', '320']
['64 ', '150', '355', '176', '130', '132', '166', '320']
['63 ', '150', '355', '176', '129', '132', '166', '319']
['63 ', '150', '355', '176', '127', '132', '166', '319']
['64 ', '150', '356', '176', '129', '132', '166', '319']
['63 ', '151', '355', '177', '128', '132', '166', '319']
